,,,,,,,,
BOOK,Author,ID,Length,Sex,Period,Genre (optional) ,Type,
The Secret Adversary,Agatha Christie,1155,,Female,,,,
Wuthering Heights,Emily Bronte ,768,,Female,,,,
Three Lives,Gertrude Stein,15408,,Female,,,,
Little Women,Louisa May Alcott,514,,Female,,,,
Uncle Tom's Cabin,Harriet Beecher Stowe,203,,Female,,,,
,,,,,,,,
Adventures in Wonderland,Lewis Carroll,11,,Male,,,,
Moby Dick,Herman Melville,2701,,Male,,,,
Heart of Darkness,Joseph Conrad,219,,Male,,,,
Metamorphosis,Franz Kafka,5200,,Male,,,,
Autobiography,Benjamin Franklin,20203,,Male,,,,